level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1920	886	-1	
2	1	1	0	0	0	32	27	412	14	-1	
3	1	1	1	0	0	32	27	412	14	-1	
4	1	1	1	1	0	32	27	412	14	-1	
5	1	1	1	1	1	32	27	67	14	81.991013	Aegis-12
5	1	1	1	1	2	109	27	74	14	96.129555	Fiduciary
5	1	1	1	1	3	194	27	65	11	93.181297	Firewall
5	1	1	1	1	4	269	28	15	12	93.181297	//
5	1	1	1	1	5	294	27	66	11	96.940002	Hardware
5	1	1	1	1	6	369	27	75	14	95.929764	Telemetry
2	1	2	0	0	0	1695	18	49	11	-1	
3	1	2	1	0	0	1695	18	49	11	-1	
4	1	2	1	1	0	1695	18	49	11	-1	
5	1	2	1	1	1	1695	18	49	11	94.657433	SECURE
2	1	3	0	0	0	1754	18	116	11	-1	
3	1	3	1	0	0	1754	18	116	11	-1	
4	1	3	1	1	0	1754	18	116	11	-1	
5	1	3	1	1	1	1754	18	57	11	96.651756	ENCLAVE
5	1	3	1	1	2	1821	18	49	11	96.383316	ACTIVE
2	1	4	0	0	0	32	66	1856	3	-1	
3	1	4	1	0	0	32	66	1856	3	-1	
4	1	4	1	1	0	32	66	1856	3	-1	
5	1	4	1	1	1	32	66	1856	3	95.000000	 
2	1	5	0	0	0	42	107	1836	3	-1	
3	1	5	1	0	0	42	107	1836	3	-1	
4	1	5	1	1	0	42	107	1836	3	-1	
5	1	5	1	1	1	42	107	1836	3	95.000000	 
2	1	6	0	0	0	59	138	263	19	-1	
3	1	6	1	0	0	59	138	263	19	-1	
4	1	6	1	1	0	59	138	263	19	-1	
5	1	6	1	1	1	59	139	16	16	31.123085	4)
5	1	6	1	1	2	86	138	96	19	96.393234	Fiduciary
5	1	6	1	1	3	194	138	64	19	96.084068	Policy
5	1	6	1	1	4	270	139	52	15	96.048363	Rules
2	1	7	0	0	0	57	179	150	12	-1	
3	1	7	1	0	0	57	179	150	12	-1	
4	1	7	1	1	0	57	179	150	12	-1	
5	1	7	1	1	1	57	180	22	9	94.470825	MAX
5	1	7	1	1	2	86	180	35	9	94.749641	TRADE
5	1	7	1	1	3	130	180	35	9	83.659470	LIMIT
5	1	7	1	1	4	175	179	32	12	96.487770	(SOL)
2	1	8	0	0	0	674	123	52	12	-1	
3	1	8	1	0	0	674	123	52	12	-1	
4	1	8	1	1	0	674	123	52	12	-1	
5	1	8	1	1	1	674	123	52	12	11.117897	eoeo
2	1	9	0	0	0	1173	124	191	9	-1	
3	1	9	1	0	0	1173	124	191	9	-1	
4	1	9	1	1	0	1173	124	191	9	-1	
5	1	9	1	1	1	1173	124	31	9	96.416115	LIVE
5	1	9	1	1	2	1215	124	65	9	96.460167	HARDWARE
5	1	9	1	1	3	1290	124	74	9	39.973831	TELEMETRY
2	1	10	0	0	0	661	148	1227	3	-1	
3	1	10	1	0	0	661	148	1227	3	-1	
4	1	10	1	1	0	661	148	1227	3	-1	
5	1	10	1	1	1	661	148	1227	3	95.000000	 
2	1	11	0	0	0	59	197	543	1	-1	
3	1	11	1	0	0	59	197	543	1	-1	
4	1	11	1	1	0	59	197	543	1	-1	
5	1	11	1	1	1	59	197	543	1	95.000000	 
2	1	12	0	0	0	57	199	47	38	-1	
3	1	12	1	0	0	57	199	47	38	-1	
4	1	12	1	1	0	57	199	47	38	-1	
5	1	12	1	1	1	57	199	47	38	47.170349	(0.01
2	1	13	0	0	0	59	238	543	1	-1	
3	1	13	1	0	0	59	238	543	1	-1	
4	1	13	1	1	0	59	238	543	1	-1	
5	1	13	1	1	1	59	238	543	1	95.000000	 
2	1	14	0	0	0	42	321	577	1	-1	
3	1	14	1	0	0	42	321	577	1	-1	
4	1	14	1	1	0	42	321	577	1	-1	
5	1	14	1	1	1	42	321	577	1	95.000000	 
2	1	15	0	0	0	42	354	577	1	-1	
3	1	15	1	0	0	42	354	577	1	-1	
4	1	15	1	1	0	42	354	577	1	-1	
5	1	15	1	1	1	42	354	577	1	95.000000	 
2	1	16	0	0	0	58	384	171	19	-1	
3	1	16	1	0	0	58	384	171	19	-1	
4	1	16	1	1	0	58	384	171	19	-1	
5	1	16	1	1	1	58	384	106	19	96.734268	Diagnostic
5	1	16	1	1	2	177	385	52	15	96.516228	Tools
2	1	17	0	0	0	60	471	540	1	-1	
3	1	17	1	0	0	60	471	540	1	-1	
4	1	17	1	1	0	60	471	540	1	-1	
5	1	17	1	1	1	60	471	540	1	95.000000	 
2	1	18	0	0	0	74	481	278	16	-1	
3	1	18	1	0	0	74	481	278	16	-1	
4	1	18	1	1	0	74	481	278	16	-1	
5	1	18	1	1	1	70	476	13	29	96.461464	A
5	1	18	1	1	2	102	484	40	11	92.383972	Force
5	1	18	1	1	3	152	484	57	11	96.791313	Circuit
5	1	18	1	1	4	219	484	58	11	96.608337	Breaker
5	1	18	1	1	5	287	484	65	11	96.269890	Lockdown
2	1	19	0	0	0	60	508	540	1	-1	
3	1	19	1	0	0	60	508	540	1	-1	
4	1	19	1	1	0	60	508	540	1	-1	
5	1	19	1	1	1	60	508	540	1	95.000000	 
2	1	20	0	0	0	32	118	1	454	-1	
3	1	20	1	0	0	32	118	1	454	-1	
4	1	20	1	1	0	32	118	1	454	-1	
5	1	20	1	1	1	32	118	1	454	95.000000	 
2	1	21	0	0	0	628	118	1	454	-1	
3	1	21	1	0	0	628	118	1	454	-1	
4	1	21	1	1	0	628	118	1	454	-1	
5	1	21	1	1	1	628	118	1	454	95.000000	 
2	1	22	0	0	0	42	581	577	1	-1	
3	1	22	1	0	0	42	581	577	1	-1	
4	1	22	1	1	0	42	581	577	1	-1	
5	1	22	1	1	1	42	581	577	1	95.000000	 
2	1	23	0	0	0	661	118	1	726	-1	
3	1	23	1	0	0	661	118	1	726	-1	
4	1	23	1	1	0	661	118	1	726	-1	
5	1	23	1	1	1	661	118	1	726	95.000000	 
2	1	24	0	0	0	679	171	358	14	-1	
3	1	24	1	0	0	679	171	358	14	-1	
4	1	24	1	1	0	679	171	358	14	-1	
5	1	24	1	1	1	679	172	66	13	78.220940	Aegis-12
5	1	24	1	1	2	757	171	62	12	94.469528	(v2.4.1)
5	1	24	1	1	3	830	172	25	10	96.931297	TEE
5	1	24	1	1	4	865	171	49	11	93.234840	Kernel
5	1	24	1	1	5	924	171	113	11	91.363266	Initialized...
2	1	25	0	0	0	681	210	113	172	-1	
3	1	25	1	0	0	681	210	113	172	-1	
4	1	25	1	1	0	681	210	113	13	-1	
5	1	25	1	1	1	681	210	113	13	36.581745	[07:25:37.100]
4	1	25	1	2	0	682	236	111	13	-1	
5	1	25	1	2	1	682	236	111	13	79.621696	[07:25:37.602]
4	1	25	1	3	0	682	263	111	12	-1	
5	1	25	1	3	1	682	263	111	12	0.000000	[07:25:38,102]
4	1	25	1	4	0	682	289	111	13	-1	
5	1	25	1	4	1	682	289	111	13	81.278275	[07:25:38.602]
4	1	25	1	5	0	682	316	111	13	-1	
5	1	25	1	5	1	682	316	111	13	85.461372	[07:25:39.102]
4	1	25	1	6	0	682	344	111	12	-1	
5	1	25	1	6	1	682	344	111	12	86.578255	[07:25:39.602]
4	1	25	1	7	0	682	370	111	12	-1	
5	1	25	1	7	1	682	370	111	12	0.000000	[07:26:14,195]
2	1	26	0	0	0	681	409	113	226	-1	
3	1	26	1	0	0	681	409	113	226	-1	
4	1	26	1	1	0	681	409	113	13	-1	
5	1	26	1	1	1	681	409	113	13	29.341526	(07:26:19.113]
4	1	26	1	2	0	682	435	111	13	-1	
5	1	26	1	2	1	682	435	111	13	72.047600	[07:26:19.615]
4	1	26	1	3	0	682	463	111	12	-1	
5	1	26	1	3	1	682	463	111	12	72.467514	[07:26:20.115]
4	1	26	1	4	0	682	488	111	13	-1	
5	1	26	1	4	1	682	488	111	13	79.173912	[07:26:20.614]
4	1	26	1	5	0	682	515	111	13	-1	
5	1	26	1	5	1	682	515	111	13	48.072147	[07:26:21.115]
4	1	26	1	6	0	682	543	111	12	-1	
5	1	26	1	6	1	682	543	111	12	78.350113	[07:26:21.614]
4	1	26	1	7	0	682	569	111	13	-1	
5	1	26	1	7	1	682	569	111	13	0.000000	[07:26:34,038]
4	1	26	1	8	0	682	595	111	13	-1	
5	1	26	1	8	1	682	595	111	13	0.000000	[07:26:34,038]
4	1	26	1	9	0	682	622	111	13	-1	
5	1	26	1	9	1	682	622	111	13	82.464012	[07:26:49.134]
2	1	27	0	0	0	681	662	113	146	-1	
3	1	27	1	0	0	681	662	113	146	-1	
4	1	27	1	1	0	681	662	113	13	-1	
5	1	27	1	1	1	681	662	113	13	81.861511	[07:26:58.000]
4	1	27	1	2	0	682	688	111	13	-1	
5	1	27	1	2	1	682	688	111	13	44.010323	[07:26:58.502]
4	1	27	1	3	0	682	715	111	12	-1	
5	1	27	1	3	1	682	715	111	12	58.310638	[07:26:59.002]
4	1	27	1	4	0	682	741	111	13	-1	
5	1	27	1	4	1	682	741	111	13	55.161736	[07:26:59.502]
4	1	27	1	5	0	682	768	111	13	-1	
5	1	27	1	5	1	682	768	111	13	21.937084	(07:27:00.001]
4	1	27	1	6	0	682	796	111	12	-1	
5	1	27	1	6	1	682	796	111	12	26.291018	[07:27:00.500)
2	1	28	0	0	0	805	210	679	174	-1	
3	1	28	1	0	0	805	210	421	11	-1	
4	1	28	1	1	0	805	210	421	11	-1	
5	1	28	1	1	1	805	213	25	7	91.767563	>>>
5	1	28	1	1	2	839	210	41	11	91.767563	STAGE
5	1	28	1	1	3	890	211	13	10	96.415283	1:
5	1	28	1	1	4	915	210	58	11	96.967720	BOOTING
5	1	28	1	1	5	982	211	24	10	90.281250	TEE
5	1	28	1	1	6	1016	210	58	11	93.256607	ENCLAVE
5	1	28	1	1	7	1083	210	9	11	93.176682	&
5	1	28	1	1	8	1100	210	92	11	95.565964	ATTESTATION
5	1	28	1	1	9	1201	213	25	7	93.512230	<<<
3	1	28	2	0	0	808	236	550	14	-1	
4	1	28	2	1	0	808	236	550	14	-1	
5	1	28	2	1	1	808	236	97	13	92.465668	[switchboard
5	1	28	2	1	2	915	236	55	13	94.207550	Oracle]
5	1	28	2	1	3	982	237	66	11	93.097023	Received
5	1	28	2	1	4	1058	238	41	10	91.947914	4.5KB
5	1	28	2	1	5	1109	237	41	11	92.710167	Intel
5	1	28	2	1	6	1159	237	33	11	92.710167	DCAP
